Parish,Town,Church Name,Classification,Status,Photo Count,No Photos,Slug,Latitude,Longitude
St. Catherine,Spanish Town,Holy Trinity,church,inactive,0,YES,holy-trinity-spanish-town-st-catherine,17.9923,-76.9623
St. Catherine,Spanish Town,St. Jago de la Vega (The Cathedral),cathedral,active,6,,st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine,17.9944,-76.9521
St. Catherine,Top Hill,St. Simon's,church,active,0,YES,st-simon-s-top-hill-st-catherine,18.248243,-76.963434
St. Catherine,Watermount,St. Augustine's,church,active,0,YES,st-augustine-s-watermount-st-catherine,18.0823,-77.0023
St. Elizabeth,Accompong,St. Martin's,mission,active,2,,st-martin-s-accompong-st-elizabeth,18.197176,-77.777086
St. Elizabeth,Arlington,St. Stephen's,church,active,0,YES,st-stephen-s-arlington-st-elizabeth,18.0038,-77.7788
St. Elizabeth,Balaclava,St. Luke's,church,active,12,,st-luke-s-balaclava-st-elizabeth,18.17287,-77.64182
St. Elizabeth,Barbary Hall,St. Paul's,church,active,4,,st-paul-s-barbary-hall-st-elizabeth,17.957349,-77.768317
St. Elizabeth,Bigwoods District,Epiphany,church,active,0,YES,epiphany-bigwoods-district-st-elizabeth,17.931401,-77.713117
St. Elizabeth,Black River,St. John's (Parish Church),parish_church,active,4,,st-john-s-parish-church-black-river-st-elizabeth,18.02395,-77.84934
St. Elizabeth,Brompton,All Souls',church,active,2,,all-souls-brompton-st-elizabeth,18.066262,-77.877521
St. Elizabeth,Bull Savannah,St. Aidan's,church,active,1,,st-aidan-s-bull-savannah-st-elizabeth,17.8868,-77.5902
St. Elizabeth,Burnt Savanna,St. Matthew's,church,active,0,YES,st-matthew-s-burnt-savanna-st-elizabeth,18.014899,-77.755279
St. Elizabeth,Crawford,St. Barnabas',church,active,5,,st-barnabas-s-crawford-st-elizabeth,18.04411,-77.91383
St. Elizabeth,Gilnock,St. Andrew's,church,active,13,,st-andrew-s-gilnock-st-elizabeth,18.050418,-77.664382
St. Elizabeth,Glebe,St. Andrew's,church,active,1,,st-andrew-s-glebe-st-elizabeth,18.02,-77.85
St. Elizabeth,Keynsham,St. Paul's,church,inactive,2,,st-paul-s-keynsham-st-elizabeth,18.1423,-77.6523
St. Elizabeth,Lacovia,St. Thomas',church,active,15,,st-thomas-lacovia-st-elizabeth,18.09196,-77.76808
St. Elizabeth,Leeds,The Transfiguration,church,inactive,2,,the-transfiguration-leeds-st-elizabeth,18.018359,-77.690206
St. Elizabeth,Malvern,St. Mary's,church,active,7,,st-mary-s-malvern-st-elizabeth,17.928553,-77.664099
St. Elizabeth,Mayfield,St. Mark's,church,active,20,,st-mark-s-mayfield-st-elizabeth,17.881703,-77.666302
St. Elizabeth,Middle Quarters,St. Margaret's,church,active,0,YES,st-margaret-s-middle-quarters-st-elizabeth,18.102018,-77.833869
St. Elizabeth,Morningside,St. David's,church,inactive,3,,st-david-s-morningside-st-elizabeth,17.918257,-77.618072
St. Elizabeth,Mount Hermon,St. James',church,ruin,5,,st-james-mount-hermon-st-elizabeth,18.000428,-77.645434
St. Elizabeth,Mountainside,St. Augustine's,church,active,2,,st-augustine-s-mountainside-st-elizabeth,17.983411,-77.750572
St. Elizabeth,Nain,St. Stephen's,church,active,7,,st-stephen-s-nain-st-elizabeth,17.968767,-77.600695
St. Elizabeth,Newell,All Saints',church,inactive,1,,all-saints-newell-st-elizabeth,17.931478,-77.747066
St. Elizabeth,Orange Grove,St. Matthew's,church,active,0,YES,st-matthew-s-orange-grove-st-elizabeth,17.9412,-77.6312
St. Elizabeth,Pedro Plains,St. Peter's,church,active,5,,st-peter-s-pedro-plains-st-elizabeth,17.890543,-77.724055
St. Elizabeth,Pepper / Hermons,Holy Spirit,church,active,1,,holy-spirit-hermons-pepper-run-st-elizabeth,18.05,-77.77
St. Elizabeth,Pimento Walk,St. Paul's Church (Old),church,ruin,0,YES,st-paul-s-church-old-pimento-walk-st-elizabeth,18.0521,-77.7823
St. Elizabeth,Pondside,St. Boniface,church,active,2,,st-boniface-pondside-st-elizabeth,17.978154,-77.804034
St. Elizabeth,Santa Cruz,St. Matthew's,church,active,3,,st-matthew-s-santa-cruz-st-elizabeth,18.054790,-77.696698
St. Elizabeth,Siloah,St. Barnabas',church,active,8,,st-barnabas-siloah-st-elizabeth,18.171594,-77.709077
St. Elizabeth,Siloah,St. Mark's Church,church,active,0,YES,st-mark-s-church-siloah-st-elizabeth,18.17315,-77.70932
St. Elizabeth,Slipe,St. Jude's,mission,active,0,YES,st-jude-s-slipe-st-elizabeth,18.055170,-77.796187
St. Elizabeth,Southfield,St. Mary's,church,active,1,,st-mary-s-southfield-st-elizabeth,17.887778,-77.666944
St. Elizabeth,Stanmore Hill,St Alban's,church,active,1,,st-alban-s-stanmore-hill-st-elizabeth,18.000694,-77.722518
