church_id,type,url,caption,credit,license,order
st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine,image,https://res.cloudinary.com/kwierenga/image/upload/v1774647565/spanish-town-1_fdfjqi.jpg,"Cathedral of St. Jago de la Vega, Spanish Town",,Unknown,1
st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine,image,https://res.cloudinary.com/kwierenga/image/upload/v1774647568/spanish-town-2_mwu2a9.jpg,"Cathedral of St. Jago de la Vega, Spanish Town",,Unknown,2
st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine,image,https://res.cloudinary.com/kwierenga/image/upload/v1777235959/churches/st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine-3.jpg,"Monument inside the Cathedral of St. Jago de la Vega, Spanish Town",anglicandioceseja.org,Fair use,3
st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine,image,https://res.cloudinary.com/kwierenga/image/upload/v1777235960/churches/st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine-4.jpg,"Cathedral of St. Jago de la Vega, Spanish Town",anglicandioceseja.org,Fair use,4
st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine,image,https://res.cloudinary.com/kwierenga/image/upload/v1777235962/churches/st-jago-de-la-vega-the-cathedral-spanish-town-st-catherine-6.jpg,"Cathedral of St. Jago de la Vega, Cathedral Sunday 24 November 2013 — Tony Patel",anglicandioceseja.org,Fair use,5
st-james-parish-church-sam-sharpe-square-st-james,image,https://res.cloudinary.com/kwierenga/image/upload/v1774647602/montego-bay-1_j6tuwf.jpg,"St. James Parish Church, Montego Bay",,Unknown,1
st-james-parish-church-sam-sharpe-square-st-james,image,https://res.cloudinary.com/kwierenga/image/upload/v1777135400/churches/st-james-parish-church-sam-sharpe-square-st-james-2.png,"St. James Parish Church, Sam Sharpe Square",https://jamaicanancestralrecords.com/parishes-2/st-james-2/st-james-parish-church-montego-bay-st-james/,Fair use,2
st-james-parish-church-sam-sharpe-square-st-james,image,https://res.cloudinary.com/kwierenga/image/upload/v1777234016/churches/st-james-parish-church-sam-sharpe-square-st-james-1.jpg,St James Parish Church Church Street St James,anglicandioceseja.org,Fair use,3
st-ann-parish-church-st-ann-s-bay-st-ann,image,https://res.cloudinary.com/kwierenga/image/upload/v1774647556/st-anns-bay-1_vflxsr.jpg,St. Ann's Bay Parish Church,https://jamaicanancestralrecords.com/parishes-2/st-ann-2/st-ann-parish-church-st-anns-bay-st-ann/,Fair use,1
st-ann-parish-church-st-ann-s-bay-st-ann,image,https://res.cloudinary.com/kwierenga/image/upload/v1776905203/churches/st-ann-parish-church-st-ann-s-bay-st-ann-2.jpg,"St. Ann Parish Church, St. Ann's Bay",,Fair use,2
